,Date,Team,Acquired,Relinquished,Notes,Injury Type
357,2011-01-24,Raptors,,Linas Kleiza,sore right knee (DNP),knee
358,2011-01-25,Celtics,,Shaquille O'Neal,sore right leg (DNP),leg
359,2011-01-25,Clippers,,Eric Gordon,sprained right wrist (DNP),wrist
360,2011-01-26,Bucks,,John Salmons,strained right hip (DNP),hip
361,2011-01-26,Clippers,,Eric Gordon,sprained right wrist (DNP),wrist
362,2011-01-26,Nuggets,,Kenyon Martin,left knee injury (DNP),knee
363,2011-01-27,Celtics,,Shaquille O'Neal,sore right hip (DNP),hip
364,2011-01-28,Bucks,,John Salmons,strained right hip (DNP),hip
365,2011-01-28,Heat,,Dwyane Wade,sprained right wrist (DNP),wrist
366,2011-01-28,Jazz,,Deron Williams,strained tendon in right wrist (DNP),wrist
367,2011-01-28,Jazz,,Mehmet Okur,strained lower back (DTD),back
368,2011-01-28,Nets,,Jordan Farmar,strained lower back (DNP),back
369,2011-01-28,Pistons,,Rodney Stuckey,bruised right shoulder (DNP),bruise
370,2011-01-28,Wizards,,Kirk Hinrich,sprained right ankle (DNP),ankle
371,2011-01-29,Bucks,,John Salmons,strained right hip (DNP),hip
372,2011-01-29,Nets,,Jordan Farmar,strained lower back (DNP),back
373,2011-01-29,Wizards,,Mustafa Shakur,right leg injury (DTD),leg
374,2011-01-30,Jazz,,Deron Williams,strained tendon in right wrist (DNP),wrist
375,2011-01-30,Knicks,,Wilson Chandler,sore left calf (DNP),calf
376,2011-01-30,Magic,,Gilbert Arenas,bruised left knee (P) / sore right knee (CBC) (DNP),bruise
377,2011-01-30,Pistons,,Rodney Stuckey,bruised right shoulder (DNP),bruise
378,2011-01-30,Suns,,Gani Lawal,surgery on right knee to repair torn ACL and partially torn MCL (out for season),knee
379,2011-01-31,Cavaliers,,Daniel Gibson,bruised left quadriceps (DNP),bruise
380,2011-01-31,Clippers,,Eric Gordon,sprained right wrist (DNP),wrist
381,2011-01-31,Jazz,,Deron Williams,strained tendon in right wrist (DNP),wrist
382,2011-01-31,Magic,,J.J. Redick,sore left shoulder (DTD),shoulder
383,2011-01-31,Nets,,Jordan Farmar,strained lower back (DNP),back
384,2011-02-01,Kings,,Jason Thompson,sprained right ankle (DNP),ankle
385,2011-02-01,Lakers,,Andrew Bynum,bone bruised in left knee (DNP),bruise
386,2011-02-02,Bucks,,Keyon Dooling,flu (DNP),illness
387,2011-02-02,Bucks,,Larry Sanders,illness (DNP),illness
388,2011-02-02,Cavaliers,,Daniel Gibson,bruised left quadriceps (DNP),bruise
389,2011-02-02,Clippers,,Eric Gordon,sprained right wrist (DNP),wrist
390,2011-02-02,Jazz,,Andrei Kirilenko,sprained left ankle (DNP),ankle
391,2011-02-02,Jazz,,Deron Williams,strained tendon in right wrist (DNP),wrist
392,2011-02-02,Pistons,,Jason Maxiell,sore back (DNP),back
393,2011-02-02,Rockets,,Jordan Hill,sprained ankle (DNP),ankle
394,2011-02-03,Bucks,,Chris Douglas-Roberts,DNP,Misc.
395,2011-02-03,Magic,,Brandon Bass,sprained left ankle (DNP),ankle
396,2011-02-03,Raptors,,Linas Kleiza,microfracture surgery on right knee to repair cartilage damage (out for season),knee
397,2011-02-04,Celtics,,Shaquille O'Neal,sore right leg / Achilles tendon (CBC) (DNP),illness
398,2011-02-04,Clippers,,Eric Gordon,sprained right wrist (DNP),wrist
399,2011-02-04,Jazz,,Andrei Kirilenko,sprained left ankle (DNP),ankle
400,2011-02-04,Kings,,Hassan Whiteside,torn patella tendon in left knee (out for season),knee
401,2011-02-04,Kings,,Jason Thompson,sprained right ankle (DNP),ankle
402,2011-02-04,Magic,,Brandon Bass,sprained left ankle (DNP),ankle
403,2011-02-04,Pistons,,Jason Maxiell,sore back (DNP),back
404,2011-02-04,Raptors,,Jerryd Bayless,sprained right knee (DTD),knee
405,2011-02-04,Timberwolves,,Michael Beasley,left ankle injury (DTD),ankle
406,2011-02-05,Blazers,,Dante Cunningham,facial injury (DNP),face
407,2011-02-05,Hornets,,Trevor Ariza,sprained right ankle (DNP),ankle
408,2011-02-05,Jazz,,Andrei Kirilenko,sprained left ankle (DNP),ankle
409,2011-02-05,Pistons,,Jason Maxiell,sore back (DNP),back
411,2011-02-06,Celtics,,Marquis Daniels,bruised spinal cord (out indefinitely),bruise
412,2011-02-06,Celtics,,Shaquille O'Neal,sore right leg (DNP),leg
413,2011-02-06,Clippers,,Eric Gordon,sprained right wrist (DNP),wrist
414,2011-02-06,Magic,,Brandon Bass,sprained left ankle (DNP),ankle
415,2011-02-07,Celtics,,Semih Erden,strained right adductor (DNP),groin
416,2011-02-07,Celtics,,Shaquille O'Neal,sore right leg (DNP),leg
417,2011-02-07,Jazz,,Francisco Elson,left knee injury (DTD),knee
418,2011-02-08,Clippers,,Eric Gordon,sprained right wrist (DNP),wrist
419,2011-02-08,Magic,,Brandon Bass,sprained left ankle (DNP),ankle
420,2011-02-08,Mavericks,,Dominique Jones,stress fracture in fifth metatarsal in right foot (out indefinitely),foot
421,2011-02-08,Pistons,,Chris Wilcox,sore groin (DNP),groin
422,2011-02-08,Pistons,,Richard Hamilton,sore groin (DNP),groin
423,2011-02-08,Raptors,,Alexis Ajinca / Alex Ajinca,sore left foot (DNP),foot
424,2011-02-08,Timberwolves,,Darko Milicic,strained left hip flexor (DNP),hip
425,2011-02-08,Timberwolves,,Michael Beasley,sprained left ankle (DNP),ankle
426,2011-02-09,Clippers,,Eric Gordon,sprained right wrist (DNP),wrist
427,2011-02-09,Jazz,,Francisco Elson,left knee inflammation (DNP),knee
428,2011-02-09,Magic,,Brandon Bass,sprained left ankle (DNP),ankle
429,2011-02-09,Pistons,,Richard Hamilton,sore groin (DNP),groin
430,2011-02-09,Wizards,,Al Thornton,dislocated right middle finger (DNP),hand/finger
431,2011-02-09,Wizards,,Yi Jianlian / Jianlian Yi,sprained left ankle (DNP),ankle
432,2011-02-10,Celtics,,Semih Erden,strained right adductor (DNP),groin
433,2011-02-10,Celtics,,Shaquille O'Neal,sore right leg (DNP),leg
434,2011-02-11,Clippers,,Eric Gordon,sprained right wrist (DNP),wrist
435,2011-02-11,Jazz,,Raja Bell,strained left calf (DNP),calf
436,2011-02-11,Jazz,,Ronnie Price,sprained right big toe (DNP),foot
437,2011-02-11,Magic,,Brandon Bass,sprained left ankle (DNP),ankle
438,2011-02-11,Mavericks,,Dominique Jones,surgery on right foot to repair stress fracture in fifth metatarsal (out indefinitely),foot
439,2011-02-11,Pistons,,Richard Hamilton,sore groin (DNP),groin
440,2011-02-11,Raptors,,Alexis Ajinca / Alex Ajinca,sore left foot (DNP),foot
441,2011-02-11,Spurs,,Tiago Splitter,strained left hamstring (DNP),hamstring
442,2011-02-11,Timberwolves,,Darko Milicic,strained left hip flexor (DNP),hip
443,2011-02-11,Timberwolves,,Michael Beasley,sprained left ankle (DNP),ankle
444,2011-02-11,Bucks,,Larry Sanders,back spasms (DNP),back
445,2011-02-12,Cavaliers,,Anderson Varejao,surgery on right ankle to repair torn tendon (date approximate),ankle
446,2011-02-12,Spurs,,Tiago Splitter,strained left hamstring (DNP),hamstring
447,2011-02-12,Timberwolves,,Darko Milicic,strained left hip flexor (DNP),hip
448,2011-02-13,Celtics,,Semih Erden,strained right adductor (DNP),groin
449,2011-02-13,Celtics,,Shaquille O'Neal,sore right leg (DNP),leg
450,2011-02-13,Clippers,,Eric Gordon,sprained right wrist (DNP),wrist
451,2011-02-13,Kings,,Luther Head,sore right knee (DTD),knee
452,2011-02-13,Warriors,,Dan Gadzuric,back spasms (DTD),back
453,2011-02-14,Clippers,,Eric Gordon,fractured right wrist (DNP),wrist
454,2011-02-15,Bobcats,,Eduardo Najera,groin injury (DNP),groin
455,2011-02-15,Heat,,Dexter Pittman,surgery on right knee to repair cartilage (out indefinitely),knee
456,2011-02-15,Jazz,,Andrei Kirilenko,sprained right ankle (DNP),ankle
457,2011-02-15,Jazz,,Raja Bell,strained left calf (DNP),calf
458,2011-02-15,Jazz,,Ronnie Price,sprained right big toe (DNP),foot
459,2011-02-15,Kings,,Tyreke Evans,plantar fasciitis in right foot (DNP),foot
460,2011-02-16,Bucks,,Ersan Ilyasova,right eye contusion (DNP),bruise
461,2011-02-16,Bucks,,Keyon Dooling,sore left knee (DNP),knee
462,2011-02-16,Celtics,,Shaquille O'Neal,sore right leg (DNP),leg
463,2011-02-16,Clippers,,Eric Gordon,sprained right wrist (DNP),wrist
464,2011-02-16,Grizzlies,,Rudy Gay,partially dislocated left shoulder (out indefinitely),shoulder
465,2011-02-16,Jazz,,Andrei Kirilenko,sprained right ankle (DNP),ankle
466,2011-02-16,Jazz,,Raja Bell,strained left calf (DNP),calf
467,2011-02-16,Jazz,,Ronnie Price,sprained right big toe (DNP),foot
468,2011-02-16,Kings,,Tyreke Evans,plantar fasciitis in right foot (DNP),foot
469,2011-02-17,Mavericks,,Jose Juan Barea / Jose Barea / J.J. Barea,illness (DTD),illness
470,2011-02-17,Spurs,,Tiago Splitter,strained left hamstring (DNP),hamstring
471,2011-02-21,Kings,,Francisco Garcia,left calf injury (DNP),calf
475,2011-02-23,Blazers,,Sean Marks,left hand injury (DTD),hand/finger
476,2011-02-23,Jazz,,Ronnie Price,sprained right big toe (DNP),foot
477,2011-02-23,Kings,,Tyreke Evans,plantar fasciitis in left foot (DNP) (P),foot
478,2011-02-23,Suns,,Zabian Dowdell,illness (DTD),illness
479,2011-02-25,Blazers,,Gerald Wallace,DNP,Misc.
480,2011-02-25,Bobcats,,D.J. White,DNP,Misc.
481,2011-02-25,Nuggets,,Melvin Ely,sprained ankle (DTD),ankle
482,2011-02-25,Spurs,,Gary Neal,concussion symptoms (DNP),head
484,2011-02-25,Timberwolves,,Martell Webster,sore back (DNP),back
485,2011-02-25,Bobcats,,DeSagana Diop,ruptured right Achilles tendon (DNP),illness
486,2011-02-25,Bobcats,,Tyrus Thomas,torn meniscus in right knee (DNP),knee
487,2011-02-25,Kings,,Francisco Garcia,strained left calf (DNP),calf
488,2011-02-26,Bucks,,Ersan Ilyasova,concussion (DNP),head
489,2011-02-26,Kings,,Francisco Garcia,strained left calf (DNP),calf
490,2011-02-26,Nets,,Quinton Ross,strained lower back (DNP),back
491,2011-02-26,Pistons,,Tayshaun Prince,back injury / illness (P) (DNP),illness
492,2011-02-26,Pistons,,Tracy McGrady,headache (DNP),head
493,2011-02-27,Bobcats,,Tyrus Thomas,torn meniscus in right knee (DNP),knee
494,2011-02-27,Cavaliers,,Antawn Jamison,broken left little finger (out indefinitely),hand/finger
495,2011-02-27,Raptors,,Andrea Bargnani,flu (DNP),illness
496,2011-02-27,Spurs,,Gary Neal,concussion symptoms (DNP),head
497,2011-02-28,Cavaliers,,Antawn Jamison,surgery to repair broken left little finger (out indefinitely),hand/finger
498,2011-02-28,Celtics,,Delonte West,sprained right ankle (DNP),ankle
499,2011-02-28,Hawks,,Kirk Hinrich,sore right calf (DNP),calf
500,2011-02-28,Kings,,Francisco Garcia,strained left calf (DNP),calf
501,2011-02-28,Spurs,,(William) Tony Parker,strained left calf muscle (out indefinitely),calf
502,2011-03-01,Blazers,,Rudy Fernandez,illness / flu (DNP),illness
503,2011-03-01,Bucks,,Andrew Bogut,strained left rib muscle (DNP),core
504,2011-03-01,Bucks,,Luc Richard Mbah a Moute / Luc Mbah a Moute,flu (DNP),illness
505,2011-03-01,Magic,,Gilbert Arenas,sore left knee (DNP),knee
506,2011-03-01,Pistons,,Tayshaun Prince,sore SI joint (DNP),Misc.
507,2011-03-02,Cavaliers,,Daniel Gibson,quadriceps injury (DTD),quad
508,2011-03-02,Cavaliers,,Semih Erden,groin injury (DTD),groin
509,2011-03-02,Hawks,,Josh Smith,sprained MCL in right knee (DTD),knee
510,2011-03-03,Celtics,,Glen Davis,patellar tendinitis in left knee (out indefinitely),knee
511,2011-03-03,Jazz,,Derrick Favors,cold (DNP),illness
512,2011-03-03,Thunder,,Nate Robinson,arthroscopic surgery on right knee (out indefinitely),knee
513,2011-03-04,Bucks,,Ersan Ilyasova,concussion (DNP),head
514,2011-03-04,Bucks,,Luc Richard Mbah a Moute / Luc Mbah a Moute,stomach virus (DNP),illness
515,2011-03-04,Cavaliers,,Semih Erden,strained right adductor muscle (DNP),groin
516,2011-03-04,Celtics,,Glen Davis,patellar tendinitis in left knee (DNP),knee
517,2011-03-04,Hornets,,Trevor Ariza,strained abductor muscle (DNP),groin
518,2011-03-04,Timberwolves,,Sebastian Telfair,illness (DTD),illness
519,2011-03-04,Timberwolves,,Wesley Johnson / Wes Johnson,gastroenteritis / food poisoning (DNP),illness
520,2011-03-05,Bobcats,,Stephen Jackson,strained left hamstring (DNP),hamstring
521,2011-03-05,Kings,,Hassan Whiteside,surgery on left knee to repair torn patella tendon (out for season),knee
522,2011-03-05,Kings,,Omri Casspi,sore back (DNP),back
523,2011-03-05,Timberwolves,,Wesley Johnson / Wes Johnson,flu (DNP),illness
524,2011-03-06,Bucks,,Ersan Ilyasova,concussion (DNP),head
525,2011-03-06,Celtics,,Glen Davis,strained patellar tendon in left knee (DNP),knee
526,2011-03-06,Celtics,,Von Wafer,sprained right calf (DNP),calf
527,2011-03-06,Hornets,,Trevor Ariza,strained groin (DNP),groin
528,2011-03-06,Wizards,,Rashard Lewis,right knee tendinitis (DNP),knee
529,2011-03-07,Hornets,,Chris Paul,concussion (DNP),head
530,2011-03-07,Hornets,,Trevor Ariza,strained groin (DNP),groin
531,2011-03-07,Jazz,,Francisco Elson,sprained left ankle (DNP),ankle
532,2011-03-07,Jazz,,Kyrylo Fesenko,back spasms (DNP),back
533,2011-03-07,Magic,,Chris Duhon,flu (DNP),illness
534,2011-03-07,Suns,,Channing Frye,dislocated right shoulder (out indefinitely),shoulder
535,2011-03-08,Bucks,,Ersan Ilyasova,concussion (DNP),head
536,2011-03-08,Cavaliers,,Luke Harangody,right hip pointer (DNP),hip
537,2011-03-08,Wizards,,Cartier Martin,patella tendinitis in right knee (DNP),knee
538,2011-03-09,Bobcats,,Joel Przybilla,sore right knee (DNP),knee
539,2011-03-09,Bobcats,,Matt Carroll,sprained left ankle (DNP),ankle
540,2011-03-09,Bucks,,Ersan Ilyasova,concussion (DNP),head
541,2011-03-09,Celtics,,Glen Davis,strained patellar tendon in left knee (DNP),knee
542,2011-03-09,Celtics,,Von Wafer,strained right calf (DNP),calf
543,2011-03-09,Jazz,,Andrei Kirilenko,back spasms (DNP),back
544,2011-03-09,Jazz,,Paul Millsap,patellar tendinitis in left knee (DNP),knee
545,2011-03-09,Kings,,Beno Udrih,flu (DNP),illness
546,2011-03-09,Raptors,,Alexis Ajinca / Alex Ajinca,sore right knee (DNP),knee
547,2011-03-11,Celtics,,Glen Davis,strained patellar tendon in left knee (DNP),knee
548,2011-03-11,Celtics,,Von Wafer,strained right calf (DNP),calf
549,2011-03-11,Jazz,,Paul Millsap,patellar tendinitis in left knee (DNP),knee
550,2011-03-11,Kings,,Beno Udrih,flu (DNP),illness
551,2011-03-11,Magic,,J.J. Redick,lower abdominal strain (DNP),core
552,2011-03-11,Raptors,,Alexis Ajinca / Alex Ajinca,sore right knee (DNP),knee
553,2011-03-12,Bucks,,Ersan Ilyasova,concussion (DNP),head
554,2011-03-12,Jazz,,Paul Millsap,patellar tendinitis in left knee (DNP),knee
555,2011-03-12,Kings,,Beno Udrih,flu (DNP),illness
556,2011-03-12,Wizards,,Cartier Martin,patella tendinitis in right knee (DNP),knee
557,2011-03-13,Celtics,,Von Wafer,strained right calf (DNP),calf
558,2011-03-13,Knicks,,Anthony Carter,illness (DTD),illness
559,2011-03-13,Suns,,Steve Nash,pubic symphysis (DNP),Misc.
560,2011-03-14,Celtics,,Von Wafer,strained right calf (DNP),calf
561,2011-03-14,Jazz,,Gordon Hayward,sprained left foot (DNP),foot
562,2011-03-14,Jazz,,Paul Millsap,patellar tendinitis in left knee (DNP),knee
563,2011-03-14,Rockets,,Terrence Williams,lower abdomen stress (DNP),core
564,2011-03-14,Suns,,Steve Nash,pubic symphysis (DNP),Misc.
565,2011-03-14,Wizards,,Cartier Martin,patella tendinitis in right knee (DNP),knee
566,2011-03-15,Bulls,,Joakim Noah,flu (DNP),illness
567,2011-03-15,Mavericks,,Brendan Haywood,stiff lower back (DNP),back
568,2011-03-15,Rockets,,Terrence Williams,surgery to relieve lower abdomen stress (out indefinteily),core
569,2011-03-15,Wizards,,Cartier Martin,patella tendinitis in right knee (DNP),knee
570,2011-03-15,Wizards,,Josh Howard,left knee tendinitis (DNP),knee
571,2011-03-15,Wizards,,Nick Young,bruised left knee (DNP),bruise
572,2011-03-16,Bucks,,Andrew Bogut,migraine headache (DNP),head
573,2011-03-16,Jazz,,Paul Millsap,patellar tendinitis in left knee (DNP),knee
574,2011-03-16,Magic,,J.J. Redick,lower abdominal strain (DNP),core
575,2011-03-16,Mavericks,,Brendan Haywood,stiff lower back (DNP),back
576,2011-03-16,Rockets,,Terrence Williams,lower abdomen stress (DNP),core
577,2011-03-18,Bucks,,Chris Douglas-Roberts,sprained right ankle (DNP),ankle
578,2011-03-18,Kings,,Luther Head,sore right calf (DNP),calf
579,2011-03-18,Magic,,Gilbert Arenas,sore left knee (DNP),knee
580,2011-03-18,Magic,,J.J. Redick,lower abdominal strain (DNP),core
581,2011-03-18,Wizards,,Andray Blatche,strained right shoulder (DNP),shoulder
582,2011-03-18,Wizards,,Nick Young,bruised left knee (DNP),bruise
583,2011-03-19,Blazers,,Armon Johnson,right knee inflammation (DTD),knee
584,2011-03-19,Bobcats,,Garrett Temple,sprained left ankle (DNP),ankle
585,2011-03-19,Cavaliers,,Baron Davis,back spasms (DNP),back
586,2011-03-19,Nuggets,,Al Harrington,right Achilles tendon injury (DTD),illness
587,2011-03-20,Wizards,,Nick Young,bruised left knee (DNP),bruise
588,2011-03-21,Cavaliers,,Baron Davis,back spasms (DNP),back
589,2011-03-21,Heat,,Mario Chalmers,sprained right knee (out indefinitely),knee
590,2011-03-21,Magic,,J.J. Redick,lower abdominal strain (DNP),core
591,2011-03-21,Nets,,Damion James,sore right foot (DNP),foot
592,2011-03-21,Spurs,,Tim Duncan,sprained left ankle (out indefinitely),ankle
593,2011-03-22,Blazers,,Marcus Camby,sprained right ankle (DNP),ankle
595,2011-03-22,Wizards,,Nick Young,bruised left knee (DNP),bruise
596,2011-03-23,Cavaliers,,Baron Davis,back spasms (DNP),back
597,2011-03-23,Heat,,Mario Chalmers,sprained right knee (DNP),knee
598,2011-03-23,Jazz,,Andrei Kirilenko,bruised left knee (DTD),bruise
599,2011-03-23,Jazz,,Derrick Favors,sprained left ankle (DNP),ankle
600,2011-03-23,Magic,,J.J. Redick,lower abdominal strain (DNP),core
601,2011-03-23,Nets,,Damion James,sore right foot (DNP),foot
602,2011-03-23,Pistons,,Ben Wallace,left knee injury (DTD),knee
603,2011-03-23,Rockets,,Chase Budinger,sprained left ankle (DTD),ankle
604,2011-03-23,Timberwolves,,Kevin Love,strained left groin (DTD),groin
605,2011-03-23,Wizards,,Nick Young,bruised left knee (DNP),bruise
606,2011-03-24,Jazz,,Andrei Kirilenko,nerve damage in left knee (DNP),knee
607,2011-03-25,Bobcats,,Tyrus Thomas,bruised ribs (DNP),bruise
608,2011-03-25,Celtics,,Troy Murphy,sprained right ankle (DNP),ankle
609,2011-03-25,Grizzlies,,Rudy Gay,surgery to repair partially dislocated left shoulder (out for season),shoulder
610,2011-03-25,Heat,,Mario Chalmers,sprained right knee (DNP),knee
611,2011-03-25,Magic,,J.J. Redick,lower abdominal strain (DNP),core
612,2011-03-25,Magic,,Quentin Richardson,back spasms (DNP),back
613,2011-03-25,Raptors,,Amir Johnson,sore left ankle (DNP),ankle
614,2011-03-25,Raptors,,Reggie Evans,sore right foot (DNP),foot
615,2011-03-26,Bobcats,,Tyrus Thomas,bruised ribs (DNP),bruise
616,2011-03-26,Jazz,,Andrei Kirilenko,nerve damage in left knee (DNP),knee
617,2011-03-26,Nets,,Damion James,sore right foot (DNP),foot
618,2011-03-26,Pistons,,Tracy McGrady,sore back (DNP),back
619,2011-03-26,Raptors,,Andrea Bargnani,sore right ankle (DNP),ankle
620,2011-03-27,Celtics,,Rajon Rondo,right finger injury (DNP),hand/finger
621,2011-03-27,Celtics,,Troy Murphy,sprained right ankle (DNP),ankle
622,2011-03-27,Timberwolves,,Nikola Pekovic,hip injury (DNP),hip
623,2011-03-27,Wizards,,Trevor Booker,sore right foot (DNP),foot
624,2011-03-28,76ers,,Tony Battie,illness (DTD),illness
625,2011-03-28,Celtics,,Troy Murphy,sprained right ankle (DNP),ankle
626,2011-03-28,Jazz,,Andrei Kirilenko,nerve damage in left knee (DNP),knee
627,2011-03-28,Jazz,,Kyrylo Fesenko,migraine headache (DNP),head
628,2011-03-28,Magic,,J.J. Redick,lower abdominal strain (DNP),core
629,2011-03-28,Magic,,Jameer Nelson,sprained left knee (DNP),knee
630,2011-03-28,Spurs,,(William) Tony Parker,bruised left patella (DNP),bruise
631,2011-03-28,Spurs,,Antonio McDyess,bruised lower back (DNP),bruise
632,2011-03-28,Wizards,,Nick Young,bruised left knee (DNP),bruise
633,2011-03-28,Wizards,,Trevor Booker,sore right foot (DNP),foot
634,2011-03-29,Cavaliers,,Samardo Samuels,wrist injury (DTD),wrist
